n,IC,hit_rate,strat_mean,strat_sharpe,signal,instrument,horizon
130,0.044291196110830405,0.5615384615384615,0.0004990901056430476,0.09159818658217365,tsmom_12m,EURUSD,21
130,-0.012008903576451952,0.5461538461538461,0.0007363980220289945,0.10150432268984787,tsmom_12m,GBPUSD,21
130,0.056319217796228276,0.5692307692307692,0.0020559161213882494,0.2897056611087598,tsmom_12m,USDJPY,21
130,-0.05119556459872454,0.47692307692307695,0.00011998677637249804,0.014316938628729015,tsmom_12m,AUDUSD,21
130,-0.10791080036597522,0.45384615384615384,-0.0013056210877326181,-0.22228074106504916,tsmom_12m,USDCHF,21
130,-0.21769790656707041,0.45384615384615384,-0.0028646192646123183,-0.5237022593612558,tsmom_12m,USDCAD,21
130,0.09715549850469077,0.5769230769230769,0.005411978204997796,0.4449029800887214,tsmom_12m,XAUUSD,21
130,-0.045744172390719526,0.4846153846153846,0.0031395228008402375,0.1288684462880598,tsmom_12m,XAGUSD,21
130,-0.10674186456185392,0.5076923076923077,-0.009999277585658937,-0.25716961194898086,tsmom_12m,USOIL,21
130,-0.09820972565513662,0.47692307692307695,-0.005605175832081742,-0.17372608854713248,tsmom_12m,UKOIL,21
130,-0.023501618211364348,0.5153846153846153,0.0003767325182368066,0.007654169500859863,tsmom_12m,NATGAS,21
130,-0.11090961231206216,0.6153846153846154,0.003531383228323717,0.2533496437276267,tsmom_12m,ES1!,21
130,-0.003372980649742588,0.6461538461538462,0.009374716710363225,0.5393567515936897,tsmom_12m,NQ1!,21
130,0.03249805404962514,0.5153846153846153,-0.0006525784802934138,-0.11979791787113833,tsmom_12m_skip1m,EURUSD,21
130,0.0220650288820003,0.5461538461538461,0.0005110209977791162,0.07042279929447519,tsmom_12m_skip1m,GBPUSD,21
130,-0.0014502451214682707,0.5384615384615384,0.0005645819623942667,0.07929906644658127,tsmom_12m_skip1m,USDJPY,21
130,-0.0820194185363722,0.5,0.001990365094867317,0.2380547017280821,tsmom_12m_skip1m,AUDUSD,21
130,-0.09269278564503133,0.46923076923076923,-0.0006930985639978361,-0.11782394056677213,tsmom_12m_skip1m,USDCHF,21
130,-0.15983558426306518,0.46923076923076923,-0.001708315181064896,-0.3100176745992301,tsmom_12m_skip1m,USDCAD,21
130,0.0825820371710661,0.5692307692307692,0.0034568058197864777,0.2827859034172808,tsmom_12m_skip1m,XAUUSD,21
